Producto,Precio,Categoría,Ingrediente,Cantidad,Origen,Notas,
Rayito de sol,52000,Paquete mixto,3 flores DCB + 0 follaje comprado,,,,
,,,Girasol Pro Cut (sin pétalos),3,DCB,solo el centro,
,,,Ammi Majus,4,DCB,,
,,,Ammobium Alatum,3,DCB,,
Paquete campanulas y bocas,45000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Campanula Champion Pink/White,5,DCB,,
,,,Snapdragon (Boca de Dragón),5,DCB,,
Paquete campanulas y larkspur,65000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Campanula Champion Pink/White,7,DCB,,
,,,Larkspur Misty Lavender,3,DCB,,
Paquete amaranto velvet y larkspur,62000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Amaranto Velvet Curtains,5,DCB,,
,,,Larkspur Misty Lavender,10,DCB,,
Paquete gomphrenas frambuesa,45000,Paquete,1 flores DCB + 1 follaje comprado,,,,
,,,Ruscus,4,Comprado,follaje comprado,
,,,Gomphrena Quis Carmine,26,DCB,,
Yugo pequeño,,Yugo,13 flores DCB + 1 follaje comprado,,,,
,,,Eucalipto,2,Comprado,follaje comprado,
,,,Dusty Miller Silver Dust,1,DCB,,
,,,Statice,2,DCB,,
,,,Lisianthus cabeza grande,1,DCB,Cabeza grande. Al yugo van los tallos MAS CORTOS — Vanessa 2026-08-13,
,,,Lisianthus cabeza pequeña,1,DCB,Cabeza pequeña. Al yugo van los tallos MAS CORTOS — Vanessa 2026-08-13,
,,,Dahlia,1,DCB,,
,,,Snapdragon (Boca de Dragón),1,DCB,,
,,,Celosia cristata,1,DCB,,
,,,Celosia plumosa,3,DCB,,
,,,Espárrago,1,DCB,OJO: no tiene fila de siembra en campo_siembras.csv,
,,,Celosia Dreams (spicata),1,DCB,,
,,,Matricaria,1,DCB,,
,,,Amaranto,1,DCB,,
,,,Trachelium o Ammi,1,DCB,SUSTITUCION: el que haya — Vanessa 2026-08-13,
Yugo grande,,Yugo,13 flores DCB + 1 follaje comprado,,,,
,,,Eucalipto,2,Comprado,follaje comprado,
,,,Dusty Miller Silver Dust,2,DCB,,
,,,Statice,2,DCB,,
,,,Lisianthus,3,DCB,Al yugo van los tallos MAS CORTOS — Vanessa 2026-08-13,
,,,Dahlia,2,DCB,,
,,,Snapdragon (Boca de Dragón),1,DCB,,
,,,Celosia cristata,1,DCB,,
,,,Celosia plumosa,3,DCB,,
,,,Espárrago,1,DCB,,
,,,Celosia Dreams (spicata),1,DCB,,
,,,Matricaria,1,DCB,,
,,,Amaranto,1,DCB,,
,,,Trachelium o Ammi,1,DCB,SUSTITUCION: el que haya,
Cantus,Boscalid 50%,Fungicida SDHI síntesis,BASF,gr,20g/bomba 25L · 1-1.2kg/ha,"Botrytis + Sclerotinia. Máx 2 aplicaciones seguidas, máx 4/ciclo. No mezclar alcalinos. Excepción orgánica justificada.",Sem24
Infinito,Fluopicolide + Propamocarb,Fungicida oomiceto síntesis,Bayer,cc,50cc/bomba 25L · 2cc/L,Mildeo velloso + Phytophthora. Sistémico + contacto. Mejor perfil ambiental entre los 3 recomendados para MO alta en suelo.,Sem24
Xivana Smart,Fluopicolide + Fluoxapiprolin,Fungicida oomiceto síntesis,Verificar,cc,Ver etiqueta,Mildeo velloso. Comparte Fluopicolide con Infinito — NO rotar entre sí. Rotar con Segovis.,Sem24
Pestick,Polímero siliconado siloxano,Insecticida físico asfixia,Verificar,cc,10cc/bomba 25L · 0.75-1.5cc/L,"Mosca blanca + ácaros + trips. NO controla plagas grandes (Diabrotica). Máx 3 aplicaciones seguidas, 14 días entre series. NO mezclar con biológicos (Botrycid, Safer Mix).",Sem24
Cantus (rotación),Boscalid SDHI,Rotación anti-resistencia,BASF,gr,Semana A: Cantus. Semana B: Botrycid+Regalia. Semana C: Cantus. Semana D: Timorex.,Mecanismo diferente a todos los biológicos DCB. Usar máx 2 semanas seguidas.,Sem24
Naturmix-L,B+Cu+Fe+Mn+Mo+Zn quelatados,Micronutrientes ecológicos,Daymsa,cc,30cc/bomba 25L · 100-120cc/Hl,Corrección deficiencias Fe/Mn/Zn. Certificado ECOCERT. pH 2.51 — ácido. Compatible con mayoría. No usar con alcalinos.,Sem24
Fertilombriz,Humus lombriz líquido N-P-K-Ca,Abono orgánico suelo,Fertilombriz,cc,100cc/tanque 2000L drench · 700cc caneca 200L,Aplicación AL SUELO únicamente — NO foliar (CE 15.2 mS/cm). Requiere prescripción agrónomo.,Sem24
Natural WSP,Ascophyllum nodosum 100%,Bioestimulante auxinas,Daymsa,g,12-15g/bomba 25L · 0.5-1kg/ha foliar,Alto contenido auxinas. Diferente a Ascofol (citoquininas dominantes). Complementarios no redundantes.,Sem24
Raizal 400,N9%+P45%+K11%+Mg+S+auxinas,Enraizador postrasplante,Arysta,g,90g/caneca 200L · 50g/tanque 2000L · 1kg/ha/semana rosas fertirriego,SOLO para camas nuevas en establecimiento y postpoda. NO aplicar en prefloración/floración — no aporta valor.,Sem24
Pokonia SC,Pochonia chlamydosporia 1x10^8,Inoculante Fusarium/nematodos,Bioquirama,cc,1000cc/tanque 2000L · 0.5-2.5cc/L,Drench edáfico — NO conflicto con bombas foliares. Compatibilidad: no mezclar con alcalinos ni fungicidas EDÁFICOS. Aplicar en camas con historial Fusarium.,Sem24
Deep Green,Metarhizium anisopliae DSM15168,Insecticida biológico coleópteros,Verificar,cc,0.7-1cc/L foliar · 1cc/100g avena cebo,"Para arrieras: mezclar con avena en hojuelas, colocar sobre rastro obreras, renovar cada 3-4 días, Acción retardada — lleva hongo al nido. NO aplicar insecticidas cerca del cebo.",Sem24
Paquete lisianthus solo,50000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Lisianthus,7,DCB,"Vanessa 2026-09-11: ""suele tener siete tallos, aproximadamente""",
Edicion Especial Lisianthus,75000,Bouquet,2 flores DCB + 2 follaje comprado,,,,
,,,Lisianthus,5,DCB,"Vanessa 2026-09-11: ""suele tener cinco lisianthus""",
,,,Silver Dollar,2,Comprado,"""tiene dos silver dollar"". CORRIGE la version anterior, que decia 1",
,,,Eucalipto de Angela,3,Comprado,"""tres eucalipto"". CORRIGE la version anterior, que decia 2",
,,,Statice o Ammi o Trachelium o Celosia plumosa,3,DCB,"SUSTITUCION. Vanessa 2026-09-11: ""tiene tres statice, pero a veces cuando no tenemos statice le hemos puesto o Ammi, que le ponemos unos tres, o le hemos puesto Trachelium, o le ponemos celosias plumosas"". El statice es el POR DEFECTO; los otros entran cuando no hay",
Paquete celosias dream mix,50000,Paquete mixto,2 flores DCB + 3 follaje comprado,,,,
,,,Celosia Dreams Mix,10,DCB,spicata. 15 totales menos 3 follaje y 2 plumosas,
,,,Celosia plumosa,2,DCB,"Vanessa 2026-09-11: ""2 tallos de plumosas y las demas dreams""",
,,,Baby Blue o Eucalipto de Angela,3,Comprado,follaje comprado. SUSTITUCION entre los dos. NO estan en paleta_color.csv,
Celosias plumosas,50000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Celosia plumosa,10,DCB,"Vanessa 2026-09-11: ""piden mas o menos diez tallos"". APROXIMADO. Una vez se le agregaron 3 colita de conejo, pero NO es receta base",
Paquete cristata plus,65000,Paquete mixto,4 flores DCB + 0 follaje comprado,,,,
,,,Celosia cristata,10,DCB,Vanessa 2026-09-11,
,,,Strawflower o Helipterum,1,DCB,"SUSTITUCION: ""un strawflower, que tambien puede ser helipterum""",
,,,Statice,1,DCB,"""como un tallo de statice""",
,,,Celosia plumosa,2,DCB,"""y 2 celosias plumosas""",
Gomphenas snow,45000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Gomphrena Audrey White,4-6,DCB,"Vanessa 2026-09-11: la GRANDE va ""un tallo con laterales completo""; el paquete lleva ""entre cinco y seis tallos. A veces, inclusive, han habido cuatro"". El catalogo ya traia ""Gomphrenas blancas (paquete)"" con 4 al mismo precio",
Paquete gomphenas salmon rose,45000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Gomphrena Salmon Pastel,5-6,DCB,"Vanessa 2026-09-11: la GRANDE va ""un tallo con laterales completo""; el paquete lleva ""entre cinco y seis tallos. A veces, inclusive, han habido cuatro""",
Event gomphenas blancas,38250,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Gomphrena Audrey White,5,DCB,"Vanessa 2026-09-11: ""cinco tallos de la grande, que mas o menos es el mismo volumen"" que 25 de la pequena. EVENT PLANNER: 15% de descuento sobre $45.000, papeleria basica y SIN FOLLAJE",
Gomphrenas fresa o frambuesa (paquete),45000,Paquete,1 flores DCB + 1 follaje comprado,,,,
,,,Gomphrena Quis Carmine o Gomphrena Quis Red,25,DCB,"SUSTITUCION: Vanessa 2026-09-11 ""cuando tenemos cosecha de gomphrena Quis Carmine o Quis Red, hemos hecho gomphrenas fresas y gomphrenas frambuesas"". Tipo PEQUENA de racimo — 25 tallos equivalen en volumen a 5 de la grande",
,,,Ruscus,3,Comprado,follaje comprado,
Event gomphenas frambuesa 30 tallos,38250,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Gomphrena Quis Carmine o Gomphrena Quis Red,30,DCB,"EVENT PLANNER: 15% de descuento, papeleria basica y SIN FOLLAJE (Vanessa 2026-09-11). Cantidad tomada del nombre del producto, confirmada por Vanessa: ""puede que ahi le pusimos 30"". Tipo PEQUENA de racimo, coherente con los 25 que dicto para el event de la pequena (""antes lo haciamos por quince, pero ahora por veinticinco"")",
Event gomphenas rose 30 tallos,38250,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Gomphrena Quis Pink,30,DCB,"EVENT PLANNER: 15% de descuento, papeleria basica y SIN FOLLAJE (Vanessa 2026-09-11). Cantidad tomada del nombre del producto, confirmada por Vanessa: ""puede que ahi le pusimos 30"". OJO — TENSION SIN RESOLVER: ""rose"" quedo clasificada como GRANDE con laterales, y para la grande Vanessa dicto 5 tallos en event. 30 de la grande serian ~6 veces el volumen de los otros Event, todos al mismo precio de $38.250. O este ""rose"" es de la pequena, o el paquete es de otro tamano. Confirmar antes de usarlo para planificar siembra",
Bouquet cristata pop,85000,Bouquet,2 flores DCB + 0 follaje comprado,,,,
,,,Celosia Cristata Verda Green,5,DCB,"Vanessa 2026-09-11: ""Cristata y Gomphrenas, y Cristata Pop son lo mismo, tienen la misma cantidad de tallos, solo que son dos colores diferentes. A veces le pongo nombres diferentes para yo saber si algun color se vendio mas que otro"". Estructura: 5 cristata + 15 gomphrena. VARIANTE VERDE.",
,,,Gomphrena Quis Carmine o Gomphrena Quis Red,15,DCB,"SUSTITUCION: la ""frambuesa"" sale de Quis Carmine o Quis Red (Vanessa 2026-09-11)",
Cristata y gomphenas,65000,Bouquet,2 flores DCB + 0 follaje comprado,,,,
,,,Celosia Cristata Enda Rose,5,DCB,"Vanessa 2026-09-11: ""Cristata y Gomphrenas, y Cristata Pop son lo mismo, tienen la misma cantidad de tallos, solo que son dos colores diferentes. A veces le pongo nombres diferentes para yo saber si algun color se vendio mas que otro"". Estructura: 5 cristata + 15 gomphrena. VARIANTE ROSADA/FUCSIA.",
,,,Gomphrena Quis Carmine,15,DCB,"Vanessa 2026-09-11: ""gomphrenas carmine rosadas, bueno, fucsias"". La paleta ya tenia Quis Carmine como FUCSIA, asi que coincide. OJO: mismo contenido que ""Bouquet cristata pop"" pero $65.000 contra $85.000 — confirmar si es diferencia de precio real o quedo uno desactualizado",
Bocas de dragon y statice,45000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Boca de Dragón,6,DCB,"Vanessa 2026-09-11 (dictado): ""cinco bocas y cinco statice. A veces seis bocas, mentira, y cuatro statice, mas bien"" — vale la correccion",
,,,Statice,4,DCB,,
Dusty miller con colitas de conejo,50000,Paquete mixto,6 flores DCB + 0 follaje comprado,,,,
,,,Dusty Miller,4,DCB,Vanessa 2026-09-11 (dictado),
,,,Colitas de conejo,7,DCB,,
,,,Celosia plumosa,1,DCB,,
,,,Statice blanco o Statice Forever Happy,3,DCB,"SUSTITUCION: ""en algun momento lo cambiamos por la Forever Happy""",
,,,Scabiosa Estrella,,DCB,"AGREGADO RECIEN, NO APLICA AL HISTORICO. Vanessa 2026-09-11: ""comenzamos a colectarle Escabiosa Estrella solamente a esta semana. Todos los que eran con colitas de conejo anteriores NO tenian Escabiosa Estrella"". Las 85 unidades vendidas entre junio y el 2026-09-10 se hicieron SIN ella, asi que la cantidad se deja VACIA a proposito: el motor no la cuenta y no inventa 255 tallos que nunca salieron. Cuando el registro de venta cubra desde la semana ISO 37, ponerle 3.",
,,,Trachelium,1,DCB,,
Paquete ammi majus,45000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Ammi,10,DCB,"Vanessa 2026-09-11 (dictado): ""tiene diez tallos""",
Event lisianthus 5 tallos,42500,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Lisianthus,5,DCB,"Vanessa 2026-09-11 (dictado). EVENT: 15% dto, papeleria basica, sin follaje",
Matricaria,45000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Matricaria,7,DCB,"Vanessa 2026-09-11 (dictado): ""tiene siete tallos""",
Bouquet Greenery,90000,Bouquet,6 flores DCB + 3 follaje comprado,,,,
,,,Ruscus,3,Comprado,Vanessa 2026-09-11 (dictado),
,,,Silver Dollar,2,Comprado,,
,,,Eucalipto de Angela,2-3,Comprado,,
,,,Statice blanco,3,DCB,,
,,,Campanula blanca,1,DCB,,
,,,Trachelium o Ammi,1,DCB,SUSTITUCION,
,,,Boca de Dragón blanca,2,DCB,,
,,,Matricaria,1,DCB,,
,,,Lisianthus blanco o Celosia plumosa clara o Celosia Dreams Mix o Girasol blanco,1,DCB,"SUSTITUCION OPCIONAL: ""a veces le ponemos"". Girasol blanco = ProCut White Lite o White Nite",
Bocas de dragon y plumas,50000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Boca de Dragón,6,DCB,"Vanessa 2026-09-11 (dictado): ""llevaba cuatro plumas y seis bocas de dragon""",
,,,Celosia plumosa,4,DCB,"""plumas"" = Celosia plumosa (inferido del contraste con ""cristatas"" en Paquete plumas con celosias). CONFIRMADO por Vanessa 2026-09-11: ""plumas es o sea plumosa""",
Event amaranto cascada magenta 10 tll,38250,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Amaranto cascada magenta,10,DCB,"Vanessa 2026-09-11 (dictado): ""siempre tiene diez tallos, ese que dice event planners, igual tiene diez""",
My love,65000,Bouquet,4 flores DCB + 1 follaje comprado,,,,
,,,Campanula blanca,4,DCB,Vanessa 2026-09-11 (dictado),
,,,Boca de Dragón vinotinto,3,DCB,"""vinotinto, pues rojas""",
,,,Boca de Dragón Monaco Plumblossom,2,DCB,,
,,,Amaranto cascada rojo,1,DCB,,
,,,Ruscus,4,Comprado,"""creo que lleva como cuatro ruscus""",
Green ball con statice,45000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Green Ball,6,DCB,"Vanessa 2026-09-11 (dictado): ""como cuatro statice y como seis green ball""",
,,,Statice,4,DCB,,
Esparragos con ammi,45000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Espárrago,3,DCB,"Vanessa 2026-09-11 (dictado): ""como tres esparragos y mas o menos siete ammi""",
,,,Ammi,7,DCB,,
Event bocas de dragon 10 tallos,32300,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Boca de Dragón,10,DCB,"Vanessa 2026-09-11 (dictado): ""son diez tallos, solo que event planners, entonces tiene quince por ciento de descuento""",
Celosias baby con follaje,75000,Paquete mixto,2 flores DCB + 1 follaje comprado,,,,
,,,Eucalipto Baby Blue,3-4,Comprado,"Vanessa 2026-09-11: ""celosias que teniamos con eucalipto BABY, que normalmente siempre ha tenido tres a cuatro tallos de eucalipto"". El ""baby"" del nombre es el EUCALIPTO, no un tipo de celosia",
,,,Celosia plumosa,2-3,DCB,"""casi siempre dos o tres plumosas""",
,,,Celosia Dreams Mix,8,DCB,"""y las demas, que son como ocho, suelen ser dreams""",
Paquete frambuesa pop,65000,Bouquet,3 flores DCB + 0 follaje comprado,,,,
,,,Statice,3,DCB,Vanessa 2026-09-11 (dictado),
,,,Gomphrena Quis Carmine,15,DCB,"""las quince gomphrenas carmines""",
,,,Celosia Flamingo o Celosia cristata,3-5,DCB,"SUSTITUCION: ""tuvo tres celosias flamingo en un momento, y despues tambien tuvo cinco celosias cristatas""",
Paquete statice lilac dreams,40000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Statice,10,DCB,"Vanessa 2026-09-11 (dictado): ""son diez tallos. El statice en general siempre suelen ser diez tallos, a menos que puedan tener siete si son tallos muy grandes""",
Statice ruso con statice,45000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Statice Ruso,5,DCB,"Vanessa 2026-09-11 (dictado): ""como cinco y cinco, mas o menos""",
,,,Statice,5,DCB,,
Paquete gomphrenas rose,45000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Gomphrena Quis Pink,4-5,DCB,"Vanessa 2026-09-11 (dictado): ""cuatro o cinco tallos de gomphrenas con sus laterales"". Tipo GRANDE",
My love dusty miller,75000,Bouquet,5 flores DCB + 0 follaje comprado,,,,
,,,Dusty Miller,4,DCB,"Vanessa 2026-09-11 (dictado): ""es el ultimo que estamos haciendo""",
,,,Statice,2,DCB,,
,,,Celosia cristata,1,DCB,,
,,,Gomphrena,1,DCB,,
,,,Lisianthus,1,DCB,,
Paquete celosia cristata,60000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Celosia cristata,10,DCB,"Vanessa 2026-09-11 (dictado): ""tiene diez tallos""",
Event ammi majus 10 tallos,38000,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Ammi,10,DCB,Vanessa 2026-09-11 (dictado),
Dianthus coral,50000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Dianthus coral,10,DCB,"Vanessa 2026-09-11 (dictado): ""tambien eran diez tallos"". Dianthus NO esta en la cartera",
Paquete gomphenas y statice,45000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Gomphrena,15-18,DCB,"Vanessa 2026-09-11 (dictado): ""quince tallos de gomphrena o dieciocho""",
,,,Statice,5,DCB,"""mas o menos cinco tallos de statice""",
Event strawflower dreams 10 tallos,38250,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Strawflower,10,DCB,Vanessa 2026-09-11 (dictado),
Event ammobium 10 tallos,38250,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Ammobium,10,DCB,Vanessa 2026-09-11 (dictado),
Paquete celosias cristata y statice,50000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Celosia cristata,5,DCB,"Vanessa 2026-09-11 (dictado): ""cinco celosias cristatas y cinco statice""",
,,,Statice,5,DCB,,
Event dahlias 10 tallos,60000,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Dahlias,10,DCB,Vanessa 2026-09-11 (dictado),
Green ball y mini green,40000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Green Ball,5,DCB,"Vanessa 2026-09-11 (dictado): ""tenia seis, no, cinco green ball y cinco mini green""",
,,,Hortensia Mini Green,5,Comprado,"Vanessa 2026-09-11: ""Minigrin es una hortensia que compramos, que normalmente me cuesta ocho mil el paquete de diez"" = $800 por tallo. NO es tallo propio: no cuenta como DCB",
Nigellas,40000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Nigella,10,DCB,Vanessa 2026-09-11 (dictado). Nigella NO esta en la cartera,
Paquete amaranto cascada verde,40000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Amaranto cascada verde,10,DCB,"Vanessa 2026-09-11 (dictado): ""suele tener diez tallos""",
Paquete green ball y plumas,45000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Green Ball,6,DCB,"Vanessa 2026-09-11 (dictado): ""tenia seis green ball y cuatro plumas""",
,,,Celosia plumosa,4,DCB,"""plumas"" = Celosia plumosa. CONFIRMADO por Vanessa 2026-09-11: ""plumas es o sea plumosa""",
Dahlias,70000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Dahlias,10,DCB,"Vanessa 2026-09-11 (dictado): ""diez tallos""",
Paquete ammi y matricaria,45000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Ammi,6,DCB,"Vanessa 2026-09-11 (dictado): ""seis ammis y cuatro matricarias""",
,,,Matricaria,4,DCB,,
Ammi y matricaria,45000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Ammi,6,DCB,"Vanessa 2026-09-11 (dictado). Mismo producto que ""Paquete ammi y matricaria""",
,,,Matricaria,4,DCB,,
Paquete celosias cristata y green ball,50000,Paquete mixto,2 flores DCB + 1 follaje comprado,,,,
,,,Green Ball,5,DCB,"Vanessa 2026-09-11 (dictado): ""cinco green ball y cinco celosias cristata. Y creo que tenia cuatro ruscus""",
,,,Celosia cristata,5,DCB,,
,,,Ruscus,4,Comprado,,
Paquete statice dream mix,40000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Statice,10,DCB,"Vanessa 2026-09-11 (dictado): ""son diez tallos""",
Paquete celosias y campanulas,50000,Paquete mixto,2 flores DCB + 0 follaje comprado,,,,
,,,Celosia plumosa,5,DCB,"Vanessa 2026-09-11 (dictado): ""cinco celosias plumosas y cinco campanulas""",
,,,Campanula,5,DCB,,
Anemonas,65000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Anémona,10-12,DCB,"Vanessa 2026-09-11 (dictado): ""diez tallos, diez a doce a veces"". Anemona NO esta en la cartera",
Event campanulas blancas 8-10 tallos,38250,Paquete evento,1 flores DCB + 0 follaje comprado,,,,
,,,Campanula blanca,8-10,DCB,"Vanessa 2026-09-11 (dictado): ""entre ocho y diez tallos""",
Paquete matricarias snowball,40000,Paquete,1 flores DCB + 0 follaje comprado,,,,
,,,Matricaria Snowball,10,DCB,"Vanessa 2026-09-11 (dictado): ""diez tallos""",
Laskpur,50000,Paquete,1 flores DCB + 0 follaje comprado,,,,
